Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
14;Stadtpark Uster;Öffentlicher Raum;47 20 54.1;8 42 54.5;47.34836111;8.715138889;2696452;1244952;Wiederholungsmessung;Uster;NA;NA
15;Schulhaus Mettlen;Schulhaus;47 20 18.2;8 28 31.3;47.33838889;8.475361111;2678351;1243576;Wiederholungsmessung;Wettswil;NA;NA
16;Bahnhofplatz Winterthur;Bahnhof;47 30 01.2;8 43 27.3;47.50033333;8.72425;2696864;1261857;Wiederholungsmessung;Winterthur;NA;NA
17;Kindergarten Büelhof;Schulhaus;47 29 03.5;8 45 52.1;47.48430556;8.764472222;2699924;1260126;Wiederholungsmessung;Winterthur;NA;NA
18;Aeugst am Albis;Schulhaus;47 16 10.3;8 29 23.9;47.26952778;8.489972222;2679558;1235935;Einmalige Messung;Aeugst am Albis;NA;NA
19;Affoltern-Enetgraben;Schulhaus;47 16 54.3;8 27 01.7;47.28175;8.450472222;2676551;1237255;Einmalige Messung;Affoltern;NA;NA
20;Affoltern-Stigeli;Schulhaus;47 16 44.9;8 27 23.5;47.27913889;8.456527778;2677013;1236970;Einmalige Messung;Affoltern;NA;NA
21;Hausen-Primar;Schulhaus;47 14 31.1;8 32 06.4;47.24197222;8.535111111;2683016;1232919;Einmalige Messung;Hausen;NA;NA
22;Hedingen-Schachen;Schulhaus;47 17 47.8;8 26 41.5;47.29661111;8.444861111;2676106;1238901;Einmalige Messung;Hedingen;NA;NA
23;Kappel am Albis Toemlimatt;Schulhaus;47 13 38.9;8 31 50.6;47.22747222;8.530722222;2682706;1231302;Einmalige Messung;Kappel;NA;NA
24;Knonau-Aeschrain;Schulhaus;47 13 12.3;8 27 47.0;47.22008333;8.463055556;2677593;1230412;Einmalige Messung;Knonau;NA;NA
25;Rifferswil-Primarschule;Schulhaus;47 14 42.6;8 29 41.8;47.24516667;8.494944444;2679970;1233232;Einmalige Messung;Rifferswil;NA;NA
26;Stallikon-Loomatt;Schulhaus;47 20 22.8;8 29 11.6;47.33966667;8.486555556;2679195;1243729;Einmalige Messung;Stallikon;NA;NA
27;Wettswil-Wolfetsloh;Schulhaus;47 19 57.5;8 28 34.8;47.33263889;8.476333333;2678433;1242938;Einmalige Messung;Wettswil;NA;NA
28;Andelfingen Primarschule;Schulhaus;47 35 47.2;8 40 36.4;47.59644444;8.676777778;2693119;1272485;Einmalige Messung;Andelfingen;NA;NA
29;Benken-Primarschule;Schulhaus;47 39 05.6;8 39 16.7;47.65155556;8.654638889;2691359;1278586;Einmalige Messung;Benken;NA;NA
30;Buch am Irchel Primarschulhaus;Schulhaus;47 32 53.9;8 37 06.0;47.54830556;8.618333333;2688804;1267065;Einmalige Messung;Buch;NA;NA
31;Flaach-Sekundarschule;Schulhaus;47 34 36.5;8 36 44.9;47.57680556;8.612472222;2688316;1270227;Einmalige Messung;Flaach;NA;NA
32;Flurlingen-Altes-Schulhaus;Schulhaus;47 41 08.7;8 37 40.5;47.68575;8.627916667;2689294;1282357;Einmalige Messung;Flurlingen;NA;NA
33;Henggart-Langäcker;Schulhaus;47 33 38.1;8 41 01.3;47.56058333;8.683694444;2693702;1268506;Einmalige Messung;Henggart;NA;NA
34;Kleinandelfingen-Zielacker;Schulhaus;47 35 54.2;8 41 09.7;47.59838889;8.686027778;2693811;1272712;Einmalige Messung;Kleinandelfingen;NA;NA
35;Laufen-Uhwiesen_Primarschule;Schulhaus;47 40 19.3;8 37 58.3;47.67202778;8.632861111;2689688;1280837;Einmalige Messung;Laufen-Uhwiesen;NA;NA
36;Marthalen Sekundarschule;Schulhaus;47 37 52.0;8 38 58.6;47.63111111;8.649611111;2691016;1276307;Einmalige Messung;Marthalen;NA;NA
37;Oberstammheim-Primarschule;Schulhaus;47 38 02.5;8 47 48.1;47.63402778;8.796694444;2702064;1276813;Einmalige Messung;Oberstammheim;NA;NA
38;Ossingen-Sekundarschule;Schulhaus;47 36 46.9;8 43 46.7;47.61302778;8.729638889;2697064;1274393;Einmalige Messung;Ossingen;NA;NA
39;Rheinau Primarschule;Schulhaus;47 38 35.9;8 36 05.7;47.64330556;8.601583333;2687387;1277609;Einmalige Messung;Rheinau;NA;NA
40;Truttikon Primarschule;Schulhaus;47 37 49.4;8 43 43.0;47.63038889;8.728611111;2696955;1276322;Einmalige Messung;Truttikon;NA;NA
